GameIndex,AwayTeam,HomeTeam,AwayPlay,HomePlay,PlayStartTime,PlayEndTime,Make,PlayType,ScoreDifference
1,CLE,CHI,0,1,178,162,1,2,6
1,CLE,CHI,1,0,162,144,0,2,-8
1,CLE,CHI,1,0,144,141,1,2,-8
1,CLE,CHI,0,1,141,118,0,3,6
1,CLE,CHI,1,0,117,111,0,3,-6
1,CLE,CHI,1,0,110,109,0,0,-6
1,CLE,CHI,1,0,109,98,0,5,-6
1,CLE,CHI,0,1,98,98,0,5,8
1,CLE,CHI,1,0,98,91,0,2,-8
1,CLE,CHI,0,1,88,88,0,5,8
1,CLE,CHI,0,1,88,75,1,2,6
1,CLE,CHI,1,0,75,62,1,3,-8
1,CLE,CHI,0,1,62,44,0,2,5
1,CLE,CHI,1,0,43,33,1,3,-5
1,CLE,CHI,0,1,33,10,0,2,2
1,CLE,CHI,1,0,10,4,0,2,-2
1,CLE,CHI,1,0,4,2,0,0,-2
2,UTA,DET,0,1,177,158,0,5,6
2,UTA,DET,0,1,158,132,0,2,5
2,UTA,DET,0,1,130,130,0,0,5
2,UTA,DET,1,0,130,118,1,2,-5
2,UTA,DET,0,1,118,102,0,0,3
2,UTA,DET,1,0,102,81,1,2,-3
2,UTA,DET,0,1,81,64,0,2,1
2,UTA,DET,1,0,62,53,0,2,-1
2,UTA,DET,0,1,52,42,0,0,1
2,UTA,DET,1,0,42,23,1,2,-1
2,UTA,DET,0,1,23,17,1,2,-1
2,UTA,DET,1,0,17,9,0,2,-1
2,UTA,DET,1,0,9,9,0,5,-1
2,UTA,DET,1,0,9,5,0,3,-3
2,UTA,DET,1,0,5,5,0,5,-3
2,UTA,DET,1,0,5,1,0,3,-5
3,MIN,LAL,0,1,172,162,0,5,-4
3,MIN,LAL,0,1,162,153,0,0,-6
3,MIN,LAL,1,0,153,133,1,3,6
3,MIN,LAL,1,0,133,122,0,5,9
3,MIN,LAL,1,0,122,118,0,0,6
