Rk,Team,P3,P2,FT,ORB,TOV,F
1,GSW,0.416,0.528,0.763,0.235,0.135,0.204
2,OKC,0.349,0.524,0.782,0.311,0.14,0.204
3,SAC,0.359,0.5,0.725,0.239,0.142,0.197
4,HOU,0.347,0.514,0.694,0.257,0.142,0.217
5,BOS,0.335,0.483,0.788,0.251,0.121,0.214
6,POR,0.37,0.49,0.754,0.259,0.132,0.22
7,LAC,0.364,0.513,0.692,0.201,0.121,0.214
8,CLE,0.363,0.514,0.748,0.251,0.127,0.209
9,WAS,0.358,0.501,0.73,0.206,0.131,0.205
10,SAS,0.375,0.515,0.803,0.23,0.124,0.182
11,CHA,0.362,0.479,0.79,0.2,0.117,0.183
12,ATL,0.35,0.512,0.783,0.191,0.138,0.191
13,TOR,0.37,0.483,0.777,0.246,0.123,0.209
14,NOP,0.36,0.482,0.776,0.212,0.123,0.208
15,MIN,0.338,0.496,0.792,0.243,0.139,0.208
16,DAL,0.344,0.495,0.794,0.206,0.12,0.2
17,IND,0.351,0.486,0.764,0.234,0.135,0.202
18,ORL,0.35,0.492,0.757,0.231,0.128,0.207
19,DET,0.345,0.48,0.668,0.27,0.122,0.192
20,DEN,0.338,0.482,0.766,0.258,0.132,0.211
21,CHI,0.371,0.464,0.787,0.245,0.126,0.188
22,PHX,0.349,0.472,0.751,0.254,0.152,0.222
23,MIA,0.336,0.508,0.744,0.238,0.133,0.193
24,MEM,0.331,0.471,0.783,0.253,0.123,0.224
25,MIL,0.345,0.495,0.747,0.249,0.142,0.211
26,BKN,0.352,0.481,0.757,0.241,0.136,0.183
27,NYK,0.346,0.471,0.805,0.237,0.126,0.203
28,UTA,0.355,0.488,0.744,0.259,0.142,0.212
29,PHI,0.339,0.476,0.694,0.206,0.148,0.213
30,LAL,0.317,0.454,0.781,0.231,0.125,0.205
31,AVG,0.352833333,0.491633333,0.757966667,0.238133333,0.1315,0.204366667
